CourseTitles,Instructor,Semester,Description,CLO1,CLO2,CLO3,CLO4,TextBook1,TextBook2
Artificial Intelligence (CE Lab),Sahar Waqar,Fall 2024,, , , , , , 
"Artificial Intelligence Lab (A, B,D)",Numan Shafi,Fall 2024,, , , , , , 
Software Engineering for AI,Samyan Qayyum Wahla,Fall 2024,, , , , , , 
Artificial Intelligence (Lab),Samyan Qayyum Wahla,Fall 2024,, , , , , , 
Artificial Intelligence,Samyan Qayyum Wahla,Fall 2024,, , , , , , 
Signal & Systems,Sahar Waqar,Fall 2024,, , , , , , 
Applications of ICT,Sahar Waqar,Fall 2024,, , , , , , 
Data Structures and Algorithms,Nazeef Ul Haq,Fall 2024,, , , , , , 
Data Structures and Algorithms(Lab),Nazeef Ul Haq,Fall 2024,, , , , , , 
Final Year Project (2021),Numan Shafi,Spring 2024,, , , , , , 
